School Name,School Type,TOTAL_Enrollment,First Language Not English,Students With Disabilities,Percent Students With Disabilities,High Needs,Percent High Needs,Economically Disadvantaged,Percent Economically Disadvantaged,Percent African American,Percent Asian,Percent Hispanic,Percent White,Percent Native American,"Percent Native Hawaiian, Pacific Islander","Percent Multi-Race, Non-Hispanic",Percent Males,Percent Females,Average Class Size,Percent Graduated,Percent Non-Grad Completers,Percent GED,Percent Dropped Out,High School Graduates (#),Attending Coll./Univ. (#),Percent Attending College,Percent Private Two-Year,Percent Private Four-Year,Percent Public Two-Year,Percent Public Four-Year,Percent MA Community College,Percent MA State University,Percent UMass,AP_Test Takers,AP_Tests Taken,AP_One Test,AP_Two Tests,AP_Three Tests,AP_Four Tests,AP_Five or More Tests,AP_Score=1,AP_Score=2,AP_Score=3,AP_Score=4,AP_Score=5,Percent AP_Score 1-2,Percent AP_Score 3-5,SAT_Tests Taken,Average SAT_Reading,Average SAT_Writing,Average SAT_Math
Ralph C Mahar Regional,Public School,635,8.0,104.0,16.4,295.0,46.5,256.0,40.3,2.4,1.3,6.8,84.6,0.5,0.0,4.6,50.7,49.3,12.7,86.4,0.0,2.7,9.1,101.0,71.0,70.3,0.0,21.1,49.3,29.6,47.9,15.5,9.9,16,22,11.0,4.0,1.0,0.0,0.0,2.0,5.0,10.0,4.0,1.0,31.8,68.2,60.0,508.0,482.0,516.0
Randolph High,Public School,679,306.0,131.0,19.3,406.0,59.8,290.0,42.7,57.6,18.3,10.9,8.8,0.3,0.4,3.7,54.1,45.9,15.6,81.6,4.0,2.0,3.5,176.0,131.0,74.4,0.0,32.8,38.2,29.0,36.6,6.9,21.4,108,165,60.0,39.0,9.0,0.0,0.0,47.0,42.0,34.0,25.0,17.0,53.9,46.1,115.0,437.0,427.0,460.0
Reading Memorial High,Public School,1265,26.0,229.0,18.1,280.0,22.1,75.0,5.9,2.3,4.4,1.0,91.1,0.2,0.0,1.0,48.9,51.1,17.2,98.4,0.0,0.3,0.9,290.0,266.0,91.7,0.0,45.9,10.5,43.6,10.5,7.9,17.3,206,410,102.0,49.0,22.0,24.0,9.0,20.0,46.0,132.0,130.0,82.0,16.1,83.9,292.0,542.0,524.0,557.0
Revere High,Public School,1837,1109.0,185.0,10.1,993.0,54.1,705.0,38.4,4.7,6.2,54.1,32.7,0.2,0.0,2.2,49.5,50.5,19.7,86.9,3.8,0.7,3.5,342.0,236.0,69.0,0.0,33.9,28.8,37.3,28.4,7.6,28.0,305,494,169.0,88.0,43.0,5.0,0.0,93.0,96.0,112.0,120.0,73.0,38.3,61.7,373.0,430.0,426.0,460.0
Rising Tide Charter Public School,Charter School,665,3.0,96.0,14.4,141.0,21.2,59.0,8.9,1.1,3.0,2.1,89.6,0.5,0.0,3.8,48.1,51.9,18.1,100.0,0.0,0.0,0.0,34.0,30.0,88.2,0.0,26.7,16.7,56.7,16.7,20.0,26.7,16,34,5.0,5.0,5.0,1.0,0.0,3.0,3.0,13.0,11.0,4.0,17.6,82.4,38.0,542.0,537.0,529.0
Rockland Senior High,Public School,703,36.0,27.0,3.8,206.0,29.3,192.0,27.3,4.7,0.3,8.1,82.6,0.0,0.0,4.3,52.5,47.5,16.1,88.7,0.0,0.7,2.8,124.0,89.0,71.8,1.1,27.0,21.3,50.6,19.1,25.8,18.0,135,232,66.0,43.0,24.0,2.0,0.0,58.0,78.0,68.0,24.0,4.0,58.6,41.4,96.0,481.0,467.0,501.0
Rockport High,Public School,294,4.0,49.0,16.7,79.0,26.9,39.0,13.3,1.4,1.0,2.4,92.5,0.0,0.0,2.7,51.7,48.3,13.3,94.9,0.0,1.3,3.8,79.0,67.0,84.8,0.0,40.3,22.4,37.3,17.9,14.9,14.9,53,81,32.0,15.0,5.0,1.0,0.0,6.0,24.0,25.0,19.0,7.0,37.0,63.0,67.0,532.0,500.0,529.0
Sabis International Charter School,Charter School,1576,93.0,205.0,13.0,741.0,47.0,579.0,36.7,29.8,4.1,37.6,23.5,0.0,0.0,5.0,50.1,49.9,25.6,96.4,0.0,0.0,1.8,109.0,99.0,90.8,0.0,20.2,44.4,35.4,44.4,15.2,15.2,56,119,21.0,21.0,4.0,6.0,4.0,25.0,36.0,26.0,20.0,12.0,51.3,48.7,84.0,478.0,453.0,486.0
Salem High,Public School,933,315.0,229.0,24.5,585.0,62.7,424.0,45.4,7.7,2.3,43.0,43.0,0.2,0.0,3.9,51.8,48.2,13.6,87.9,1.7,0.8,5.4,273.0,190.0,69.6,0.5,17.4,33.7,48.4,32.6,31.1,11.1,188,394,68.0,61.0,42.0,9.0,8.0,139.0,119.0,61.0,48.0,27.0,65.5,34.5,144.0,490.0,460.0,487.0
Salem Academy Charter School,Charter School,442,78.0,0.0,0.0,159.0,36.0,141.0,31.9,8.8,5.4,36.7,47.3,0.0,0.0,1.8,45.5,54.5,18.0,87.2,0.0,0.0,2.1,32.0,28.0,87.5,0.0,21.4,10.7,67.9,10.7,50.0,17.9,48,122,13.0,9.0,14.0,11.0,1.0,36.0,37.0,23.0,16.0,10.0,59.8,40.2,46.0,484.0,480.0,495.0
